ID;NOME ORG;Latitude ;Longitude
1;25 DE MARÇO;-23,5480155;-46,6306434
2;BRÁS;-23,5408313;-46,6134372
3;BRASILÂNDIA;-23,4723507;-46,6914128
4;CAMPO LIMPO;-23,6597414;-46,7734715
5;CAPÃO REDONDO;-23,6710551;-46,7700716
6;CIDADE ADEMAR;-23,6815486;-46,6527594
7;GRAJAÚ/CIDADE DUTRA;-23,7115996;-46,6984727
8;GUAIANASES;-23,5430032;-46,4122863
9;HELIÓPOLIS;-23,6199987;-46,5923454
10;ITAIM PAULISTA;-23,4995174;-46,4003961
11;ITAQUERA;-23,5379954;-46,4526044
12;LAPA;-23,5225968;-46,7062846
13;LIMÃO;-23,5067889;-46,6736633
14;M'BOI MIRIM;-23,6723023;-46,7427425
15;PARAISÓPOLIS;-23,6137641;-46,7242333
16;PARELHEIROS;-23,8282991;-46,7300821
17;PERUS;-23,4068717;-46,7545558
18;REFEITÓRIO MAUÁ;-23,5352647;-46,6395025
19;SANTANA;-23,5064071;-46,6253476
20;SANTO AMARO;-23,6518178;-46,7122527
21;SÃO MATEUS;-23,604409;-46,4812056
22;SÃO MIGUEL PAULISTA;-23,4918788;-46,4388242
23;TUCURUVI;-23,4788591;-46,6114067
24;VILA NOVA CACHOEIRINHA;-23,4733728;-46,6710159
